name,edition,min_year,max_year,hp,torque,body,door,cylinder,displacement,aspiration,trans,drive,width,height,length,weight
integra,base,1994,2000,140,124,coupe,2,4,1.8,na,both,fwd,67.3,52.6,172.4,2643
,gsr,1994,2000,170,128,coupe,2,4,1.8,na,man,fwd,67.3,52.6,172.4,2672
,type r,1999,2000,195,130,coupe,2,4,1.8,na,man,fwd,67.3,51.9,172.4,2639
rsx,base,2002,2006,160,141,coupe,2,4,2,na,both,fwd,67.9,54.9,172.4,2790
,type s,2002,2004,200,141,coupe,2,4,2,na,man,fwd,67.9,54.9,172.4,2790
,type s,2005,2006,210,143,coupe,2,4,2,na,man,fwd,67.9,54.9,172.4,2790
tsx,base,2004,2008,200,164,sedan,4,4,2.4,na,both,fwd,69.4,57.3,183.3,3318
tl,base,2004,2008,270,233,sedan,4,4,3.2,na,both,fwd,72.2,56.7,189.3,3480
,type s,2007,2008,286,256,sedan,4,4,3.5,na,both,fwd,72.2,56.7,189.8,3480
nsx,base,1992,1996,270,210,coupe,2,6,3,na,both,rwd,,,,3010
,base,1997,2005,290,224,coupe,2,6,3.2,na,both,rwd,,,,
4c,base,2014,2018,237,258,coupe,2,4,1.7,turbo,auto,rwd,,,,2487
,spyder,2014,2020,237,258,convertible,2,4,1.7,turbo,auto,rwd,,,,2465
a4,b7,2004,2008,200,207,sedan,4,4,2,turbo,both,awd,,,,
s4,b7,2005,2008,339,302,sedan,4,8,4.2,na,both,awd,,,,
rs4,b7,2006,2008,414,317,sedan,4,8,4.2,na,man,awd,,,,
3 series,325i e30,1985,1991,168,164,coupe,4,6,2.5,na,both,rwd,,,,
,m3 e30,1986,1990,195,170,coupe,4,4,2.3,na,both,rwd,,,,
,m3 e36,1995,1999,240,224,coupe,2,6,3.2,na,both,rwd,,,,
,m3 e46,2000,2006,333,262,coupe,2,6,3.2,na,both,rwd,,,,
,m3 e90,2008,2013,414,300,sedan,4,8,4,na,both,rwd,,,,
,m3 e92,2008,2013,414,300,coupe,2,8,4,na,both,rwd,,,,
z3,m roadster,1997,2000,240,225,convertible,2,6,3.2,na,man,rwd,,,,
,m coupe,1997,2000,240,225,coupe,2,6,3.2,na,man,rwd,,,,
z4,m roadster,2006,2008,338,269,convertible,2,6,3.2,na,man,rwd,,,,
,m coupe,2006,2008,338,269,coupe,2,6,3.2,na,man,rwd,,,,
,3.0si coupe,2006,2008,261,232,coupe,2,6,3,na,both,rwd,,,,
corvette,c6 zo6,2005,2013,430,424,coupe,2,8,6.2,na,both,rwd,,,,
mustang,s197 gt,2005,2009,300,320,coupe,2,8,4.6,na,man,rwd,,,,
,s550 gt,2014,,460,420,coupe,2,8,5,na,both,rwd,,,,
,s550 ecoboost,2014,,310,350,coupe,2,4,2.3,turbo,both,rwd,,,,
focus,rs,2016,2018,350,350,hatch,4,4,2.3,turbo,man,awd,,,,
civic,eg si,1992,1993,125,98,hatch,2,4,1.6,na,man,fwd,,,,
,ek si,1995,2000,160,104,hatch,2,4,1.6,na,man,fwd,,,,
,fc si,2016,2022,205,192,coupe,2,4,1.5,turbo,man,fwd,,,,
,fk type r,2016,2022,306,295,hatch,4,4,2,turbo,man,fwd,,,,
s2000,ap1,2000,2003,237,153,convertible,2,4,2,na,man,rwd,,,,
,ap2,2004,2008,237,162,convertible,2,4,2.2,na,man,rwd,,,,
genesis,2.0 coupe,2013,2015,271,275,coupe,2,4,2,turbo,both,rwd,,,,
,3.8 coupe,2013,2015,348,295,coupe,2,6,3.8,na,both,rwd,,,,
g35,coupe,2002,2007,298,260,coupe,2,6,3.5,na,both,rwd,,,,
,sedan,2002,2006,298,260,sedan,4,6,3.5,na,both,rwd,,,,
g37,coupe,2007,2015,328,270,coupe,2,6,3.7,na,both,rwd,,,,
,sedan,2006,2015,328,270,sedan,4,6,3.7,na,both,rwd,,,,
stinger,2.0 T,2018,,252,260,sedan,4,4,2,turbo,auto,awd,,,,
,3.3 T,2018,,368,376,sedan,4,6,3.3,turbo,auto,awd,,,,
is,is300,1999,2005,217,218,sedan,4,6,3,na,both,rwd,,,,
,is300 hatch,1999,2005,217,218,hatch,4,6,3,na,both,rwd,,,,
,is f,2007,2014,416,371,sedan,4,8,5,na,auto,rwd,,,,
elise,base,2005,2008,190,133,convertible,2,4,1.8,na,man,rwd,,,,
exige,s 240,2005,2008,240,170,coupe,2,4,1.8,na,man,rwd,,,,
mx5,na6,1990,1993,113,99,convertible,2,4,1.6,na,both,rwd,,,,
,na8,1994,1997,129,112,convertible,2,4,1.8,na,both,rwd,,,,
,nb,1999,2005,138,119,convertible,2,4,1.8,na,both,rwd,,,,
,nb mazdaspeed,2004,2005,178,166,convertible,2,4,1.8,turbo,man,rwd,,,,
,nc,2006,2013,158,138,convertible,2,4,2,na,both,rwd,,,,
,nd 1.5,2015,2019,129,111,convertible,2,4,1.5,na,man,rwd,,,,
,nd 2.0,2019,,181,151,convertible,2,4,2,na,man,rwd,,,,
rx7,fb,1978,1980,138,133,coupe,2,0,1.3,na,both,rwd,,,,
,fc,1985,1992,146,134,coupe,2,0,1.3,na,both,rwd,,,,
,fc turbo ii,1987,1990,182,183,coupe,2,0,1.3,turbo,man,rwd,,,,
,fd,1993,1995,255,217,coupe,2,0,1.3,turbo,both,rwd,,,,
rx8,base,2003,2011,232,159,sedan,4,0,1.3,na,both,rwd,,,,
mazda3,mazdaspeed 3,2010,2013,263,280,hatch,4,4,2.3,turbo,man,fwd,,,,
c class,c250 w204,2007,2013,201,229,sedan,4,4,1.8,turbo,auto,rwd,,,,
,c63 w204,2007,2013,451,443,sedan,4,8,6.2,supercharged,auto,rwd,,,,
slk,slk230,1996,2004,194,207,convertible,2,4,2,supercharged,both,rwd,,,,
lancer,evolution 8,2003,2005,261,261,sedan,4,4,2,turbo,man,awd,,,,
,evolution 10,2009,2015,291,300,sedan,4,4,2,turbo,man,awd,,,,
3000gt,vr4,1994,1997,320,307,coupe,2,6,3,turbo,man,4wd,,,,
240sx,s13,1989,1994,140,152,coupe,2,4,2.4,na,both,rwd,,,,
,s14,1994,1998,155,160,coupe,2,4,2.4,na,both,rwd,,,,
300zx,z32 twin turbo,1990,1996,300,283,coupe,2,7,3,turbo,both,rwd,,,,
240z,base,1969,1973,151,146,coupe,2,6,2.4,na,man,rwd,,,,
350z,base,2003,2008,287,274,coupe,2,6,3.5,na,both,rwd,,,,
,nizmo,2007,2008,306,268,coupe,2,6,3.5,na,man,rwd,,,,
370z,base,2009,2013,332,270,coupe,2,6,3.7,na,both,rwd,,,,
,nismo,2009,2013,350,276,coupe,2,6,3.7,na,man,rwd,,,,
gtr,r35 base,2008,2021,485,434,coupe,2,6,3.8,turbo,auto,rwd,,,,
frs,base,2013,2016,200,151,coupe,2,4,2,na,both,rwd,,,,
brz,1st gen,2013,2019,200,151,coupe,2,4,2,na,both,rwd,,,,
,2nd gen,2021,,232,184,coupe,2,4,2.4,na,both,rwd,,,,
impreza,2.5rs (gm6),1999,2001,165,166,coupe,2,4,2.5,na,both,awd,,,,
,wrx (blobeye),2003,2005,221,221,sedan,4,4,2,turbo,man,awd,,,,
,wrx sti (blobeye),2003,2005,265,253,sedan,4,4,2.5,turbo,man,awd,,,,
,wrx va,2014,2021,268,258,sedan,4,4,2,turbo,both,awd,,,,
,wrx sti va,2014,2021,305,290,sedan,4,4,2.5,turbo,both,awd,,,,
toyota 86,gt86,2017,2019,200,151,coupe,2,4,2,na,both,rwd,,,,
,gr86,2021,,232,184,coupe,2,4,2.4,na,both,rwd,,,,
supra,a80 base (4th gen),1993,1998,220,209,coupe,2,6,3,na,both,rwd,,,,
,a80 turbo (4th gen),1993,1998,320,315,coupe,2,6,3,turbo,both,rwd,,,,
,2.0 (5th gen),2020,,255,295,coupe,2,6,2,turbo,both,rwd,,,,
,3.0 (5th gen),2019,,382,369,coupe,2,6,3,turbo,both,rwd,,,,
mr2,aw11,1984,1989,112,105,coupe,2,4,1.6,na,both,rwd,,,,
,aw11 supercharged,1988,1989,145,137,coupe,2,4,1.6,supercharged,man,rwd,,,,
,sw20,1990,1994,130,108,coupe,2,4,2.2,na,both,rwd,,,,
,sw20 turbo,1990,1994,200,200,coupe,2,4,2,turbo,man,rwd,,,,
,spyder,2000,2005,138,126,convertible,2,4,1.8,na,both,rwd,,,,
celica,gts,1999,2006,140,125,coupe,2,4,1.8,na,both,fwd,,,,
corolla,sr5,1984,1987,87,85,hatch,2,4,1.6,na,both,rwd,,,,
model3,base,2017,,271,310,sedan,4,0,0,electric,auto,awd,,,,
,performance,2017,,455,487,sedan,4,0,0,electric,auto,awd,,,,
golf,r32 mk4,2004,2004,238,236,hatch,2,6,3.2,na,man,4wd,,,,
,gti mk5,2006,2007,197,206,hatch,4,4,2,turbo,man,fwd,,,,
,gti mk6,2008,2011,207,207,hatch,2,4,2,turbo,both,fwd,,,,
,r mk6,2009,2011,256,243,hatch,2,4,2,turbo,man,4wd,,,,
,gti mk7,2015,2021,227,258,hatch,2,4,2,turbo,both,fwd,,,,
,r mk7,2015,2021,296,280,hatch,4,4,2,turbo,both,4wd,,,,
,gti mk8,2022,,241,273,hatch,4,4,2,turbo,both,fwd,,,,
,r mk8,2022,,315,310,hatch,4,4,2,turbo,both,awd,,,,
